I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;End_Account_Balance;End_Account_Equity;Total P&L;NoTrades;NoWinTrades;MaxDrawdown;TotalTradeProfit
20200505;5;20.0000;LowOrHighOfLast2Candles;-80;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10022.82860000;10022.82860000;0.00000000;11;5;75.0287;22.8286
20200505;5;20.0000;LowOrHighOfLast2Candles;-70;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10019.31788000;10019.31788000;0.00000000;14;6;96.3708;19.3179
20200505;5;20.0000;LowOrHighOfLast2Candles;-60;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10024.72060000;10024.72060000;0.00000000;18;7;122.0408;24.7206
20200505;5;20.0000;LowOrHighOfLast2Candles;-50;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10102.30484000;10102.30484000;0.00000000;21;9;56.6829;102.3048
20200505;5;20.0000;LowOrHighOfLast2Candles;-40;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10134.69280000;10134.69280000;0.00000000;24;10;94.4174;134.6928
20200505;5;20.0000;LowOrHighOfLast2Candles;-30;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10147.64888000;10147.64888000;0.00000000;25;11;80.2685;147.6489
20200505;5;20.0000;LowOrHighOfLast2Candles;-20;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10093.91860000;10093.91860000;0.00000000;25;10;68.8200;93.9186
20200505;5;20.0000;LowOrHighOfLast2Candles;-10;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10111.47916000;10111.47916000;0.00000000;28;12;59.6200;111.4792
20200505;5;20.0000;LowOrHighOfLast2Candles;0;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10189.92480000;10189.92480000;0.00000000;29;13;71.2900;189.9248
20200505;5;20.0000;LowOrHighOfLast2Candles;10;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10177.26008000;10177.26008000;0.00000000;28;13;104.0250;177.2601
20200505;5;20.0000;LowOrHighOfLast2Candles;20;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10198.68124000;10198.68124000;0.00000000;27;13;82.1531;198.6812
20200505;5;20.0000;LowOrHighOfLast2Candles;30;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10128.50520000;10128.50520000;0.00000000;26;11;123.5800;128.5052
20200505;5;20.0000;LowOrHighOfLast2Candles;40;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;10007.74896000;10007.74896000;0.00000000;20;7;132.3400;7.7490
20200505;5;20.0000;LowOrHighOfLast2Candles;50;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;9926.52264000;9926.52264000;0.00000000;15;4;163.6374;-73.4774
20200505;5;20.0000;LowOrHighOfLast2Candles;60;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;9931.75000000;9931.75000000;0.00000000;12;3;141.2100;-68.2500
20200505;5;20.0000;LowOrHighOfLast2Candles;70;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;9960.91000000;9960.91000000;0.00000000;11;3;121.0100;-39.0900
20200505;5;20.0000;LowOrHighOfLast2Candles;80;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;9934.16000000;9934.16000000;0.00000000;10;2;121.7800;-65.8400
20200505;5;20.0000;LowOrHighOfLast2Candles;90;1.0000;0.000300;0.500000;2.000000;60;0.001000;7;20;1;9909.88000000;9909.88000000;0.00000000;8;1;97.4000;-90.1200
20200505;5;20.0000;LowOrHighOfLast2Candles;-90;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;9941.52768000;9941.52768000;0.00000000;9;3;106.7368;-58.4723
20200505;5;20.0000;LowOrHighOfLast2Candles;-80;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;9983.35936000;9983.35936000;0.00000000;11;4;118.5968;-16.6406
20200505;5;20.0000;LowOrHighOfLast2Candles;-70;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;10075.89236000;10075.89236000;0.00000000;13;6;77.3808;75.8924
